Name,Location,Type of Bin Placed,Postal Code
Ang Mo Kio CC,Ang Mo Kio Avenue 1,"3-in-1 Bin (ICT, Bulb, Battery)",569976
Best Denki,"1 Harbourfront Walk, Vivocity, #2-07","3-in-1 Bin (ICT, Bulb, Battery)",098585
Best Denki,"3155 Commonwealth Avenue West, The Clementi Mall, #04-46/47/48/49","3-in-1 Bin (ICT, Bulb, Battery)",129588
Best Denki,"68 Orchard Road, Plaza Singapura, #3-39","3-in-1 Bin (ICT, Bulb, Battery)",238839
Best Denki,"2 Jurong East Street 21, IMM, #3-33","3-in-1 Bin (ICT, Bulb, Battery)",609601
Best Denki,"63 Jurong West Central 3, Jurong Point, #B1-92","3-in-1 Bin (ICT, Bulb, Battery)",648331
Best Denki,"109 North Bridge Road, Funan, #3-16","3-in-1 Bin (ICT, Bulb, Battery)",179097
Best Denki,"1 Kim Seng Promenade, Great World City, #07-01","3-in-1 Bin (ICT, Bulb, Battery)",237994
Best Denki,"391A Orchard Road, Ngee Ann City Tower A","3-in-1 Bin (ICT, Bulb, Battery)",238873
Best Denki,"9 Bishan Place, Junction 8 Shopping Centre, #03-02","3-in-1 Bin (ICT, Bulb, Battery)",579837
Best Denki,"17 Petir Road, Hillion Mall, #B1-65","3-in-1 Bin (ICT, Bulb, Battery)",678278
Best Denki,"83 Punggol Central, Waterway Point","3-in-1 Bin (ICT, Bulb, Battery)",828761
Best Denki,"311 New Upper Changi Road, Bedok Mall","3-in-1 Bin (ICT, Bulb, Battery)",467360
